experiment,structure,K,rho,d,method,claims_target,basis,reps,seed,latent_hits,latent_coverage,latent_mcse,observed_coverage,mean_radius
exp01,noise_far_more_correlated,100,0.52,8,observed_anchor,T1,exchangeability of observed curves,4000,596666508418908307,3866,0.9665,0.00284507249,0.90575,2.90086941
exp01,noise_far_more_correlated,100,0.52,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,596666508418908307,4000,1,0,0.9995,4.87951323
exp01,noise_far_more_correlated,100,0.52,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,596666508418908307,3599,0.89975,0.00474868238,0.7735,2.47782478
exp01,noise_far_more_correlated,100,0.52,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,596666508418908307,3613,0.90325,0.00467411589,0.78375,2.49975358
exp01,noise_far_more_correlated,100,0.8,8,observed_anchor,T1,exchangeability of observed curves,4000,6550436490781170548,3992,0.998,0.00070639932,0.9015,3.91264593
exp01,noise_far_more_correlated,100,0.8,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,6550436490781170548,4000,1,0,1,8.04947314
exp01,noise_far_more_correlated,100,0.8,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,6550436490781170548,3386,0.8465,0.00569951204,0.4565,2.34758756
exp01,noise_far_more_correlated,100,0.8,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,6550436490781170548,3574,0.8935,0.0048774417,0.51525,2.49728806
exp01,noise_far_more_correlated,250,0.29,8,observed_anchor,T1,exchangeability of observed curves,4000,9555405962190696087,3677,0.91925,0.00430782536,0.89875,2.59618195
exp01,noise_far_more_correlated,250,0.29,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,9555405962190696087,3988,0.997,0.00086472539,0.997,3.70267681
exp01,noise_far_more_correlated,250,0.29,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,9555405962190696087,3571,0.89275,0.00489253098,0.86825,2.4846153
exp01,noise_far_more_correlated,250,0.29,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,9555405962190696087,3577,0.89425,0.00486227667,0.86775,2.48864199
exp01,noise_far_more_correlated,250,0.4,8,observed_anchor,T1,exchangeability of observed curves,4000,11969945683694911181,3784,0.946,0.00357365359,0.90675,2.7069585
exp01,noise_far_more_correlated,250,0.4,8,noise_enlargement,T2,observed anchor + sampling-error tail bound,4000,11969945683694911181,3999,0.99975,0.000249968748,0.99875,4.19386552
exp01,noise_far_more_correlated,250,0.4,8,oracle_rescaled,T2,common standardised-shape assumption (S) + known scales,4000,11969945683694911181,3590,0.8975,0.00479566862,0.84075,2.48096844
exp01,noise_far_more_correlated,250,0.4,8,latent_oracle,T2,infeasible reference: calibrated on latent curves,4000,11969945683694911181,3597,0.89925,0.00475918684,0.84375,2.48907196
