item,essround,min_n,K,m,nominal_rank,n_countries,zero_Dhat,nu_med,nu_q10,nu_q90,Fc_med,gamma_hat,gamma_lo,gamma_hi,t_lo,fallback,struct_R2_on_Dhat,struct_slope,skew_dev,kurt_dev,rho2_hat,w_certified,w_gaussian,w_sep_bonf,w_uncorrected,cert_over_unc,cert_over_sep,cert_over_gauss
happy,9,150,117,113,0.9576271186440678,29,1,79.0,13.600000000000001,338.8,0.04969209957813578,-0.33299205199448617,-0.4295482022411571,-0.23643590174781526,0.19170451772009164,0,0.011862792217667284,0.33299205199448617,1.4795622756534066,9.976458375746407,0.3240163279949091,0.06678177713112042,0.07215005144860216,0.0604983468173838,0.07131568348146611,0.9364248349169368,1.1038611903347268,0.9255956966114437
happy,10,40,217,208,0.9541284403669725,22,6,30.0,8.0,181.60000000000002,0.07926034097286855,0.192197346460536,0.08848690835550234,0.29590778456556965,0.24535705619227996,0,0.0016515792218129155,-0.192197346460536,1.0897647873044454,4.4810909542431,0.5386912215151446,0.07998755983274605,0.09779076010398012,0.08196432128355792,0.09002106789244815,0.8885426679042561,0.9758826594321057,0.8179459874091983
happy,10,60,186,178,0.9518716577540107,22,1,35.0,11.0,197.0,0.08219677137468287,0.309809148204294,0.21968910682103798,0.39992918958755,0.34414624997466065,0,0.016544641428472007,-0.309809148204294,0.44085869756882856,3.2412209689124714,0.5498844683353176,0.06756216382201839,0.0841271599739426,0.06434471884411735,0.08339727733290728,0.8101243347828024,1.0500032486845685,0.8030957403405152
happy,10,80,153,147,0.9545454545454546,22,0,42.0,13.0,231.80000000000013,0.08513320177649718,0.6452975725713832,0.5604364280000834,0.730158717142683,0.5732464833934778,0,0.3698583527448882,-0.6452975725713832,0.5131388772158236,4.130871624066856,0.5173770054396442,0.06075675170742986,0.07563648800440795,0.06208490333499356,0.07695120706119761,0.789549040590245,0.9786074946368629,0.8032730407034377
happy,10,100,134,129,0.9555555555555556,22,0,52.0,15.0,245.7,0.08513320177649718,0.6720263257487117,0.599541787044775,0.7445108644526484,0.7964512213425088,0,0.4016388544595383,-0.6720263257487117,-0.3468215788798527,2.187371373517946,0.5772190030467608,0.05262654700094634,0.06307786914909916,0.058094194041350855,0.07492586626233871,0.7023815622856393,0.9058830726438395,0.8343107925309161
happy,10,150,81,78,0.9512195121951219,22,0,72.0,25.0,283.0,0.07926034097286855,0.7038340340229557,0.6244828946171687,0.7831851734287428,0.6846491555578107,0,0.46690462571451896,-0.7038340340229557,-0.444657749514586,3.448857911134197,0.5768804254444325,0.040849259356827324,0.059581529841934745,0.04744610689376714,0.0554011663417463,0.7373357287253768,0.8609612470057807,0.6856027273082328
happy,11,40,230,220,0.9523809523809523,24,10,44.5,14.0,192.39999999999992,0.054761673266145894,-0.08345165209444456,-0.19856722808666832,0.03166392389777921,0.2748376690147367,0,0.00017881660882090866,0.08345165209444456,1.639419688636951,9.304998942738012,0.4913955522539905,0.06103878848418124,0.0789117223297851,0.0559225090364559,0.06725665879993015,0.9075501158294922,1.0914887321023103,0.7735072392551524
happy,11,60,191,183,0.953125,24,6,52.0,16.0,217.0,0.054761673266145894,0.21893028347923885,0.10588730963870271,0.331973257319775,0.27625828484927184,0,0.001552795489613179,-0.21893028347923885,1.857856032621814,11.05201563985739,0.43949357491132385,0.061301494313421384,0.07899082828600253,0.05592659430661039,0.06682417524430775,0.9173550453754863,1.0961063349815974,0.7760583809992058
happy,11,80,160,153,0.9503105590062112,24,3,62.0,20.9,244.5999999999999,0.054761673266145894,0.531251299395363,0.4409194220549013,0.6215831767358246,0.36470711623173746,0,0.013044529978286423,-0.531251299395363,2.4028858270058624,14.326446172531679,0.40518873088965524,0.05836662355891452,0.07497147316349935,0.054433166850458174,0.06532082168706173,0.8935378038956199,1.0722621323734949,0.7785177627712793
happy,11,100,137,132,0.9565217391304348,24,2,72.0,30.0,268.4000000000001,0.054761673266145894,0.7036055638955194,0.6238817268836512,0.7833294009073877,0.42775217828379214,0,0.02630167117531379,-0.7036055638955194,2.717347780866077,17.57380913788516,0.36850199541198536,0.05801548374911255,0.07234113772136241,0.0549934974761187,0.06682417524430775,0.8681810667622785,1.0549517017772176,0.8019708505632268
happy,11,150,96,93,0.9587628865979382,23,0,79.0,38.0,284.0,0.056462974871045506,0.5376865620304704,0.4810858307048831,0.5942872933560577,0.22583684944302482,0,0.22166395901762492,-0.5376865620304704,2.8062876503494687,16.864217337138626,0.2839320856764097,0.06243088950083005,0.08777729108378485,0.05866536998955646,0.06887053503478652,0.9064963626214926,1.0641864103464092,0.7112419252177508
